"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,,,,,,,,
"Stock - Categorywise - SlowMoving - Item 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
",,,,,,,,,,,
Item name,BRANDS,DEPARTMENT,CATEGORY,Branch,Item code,Total sold qty.,Item amount,Current stock,Branch ID,Business Type,State
,Best Clean,Hygiene,Cat Litter ,URBAN PETS / MOTERA,11354,1,"1,600.00",0,32772,BRANCH,Gujarat
,Best Clean,Hygiene,Cat Litter ,URBANPETS SERVICES PRIVATE LIMITED,11354,1,"1,600.00",0,225,DISTRIBUTION CENTER,Gujarat
Petkin Travel pack Pet Wipes 100 Pcs,,,,,,1,845.75,0,,,
,Petkin,Hygiene,Towels & Wipes ,URBANPETS SERVICES PRIVATE LIMITED,11368,1,845.75,0,225,DISTRIBUTION CENTER,Gujarat
Petkin Plant Based Eye Wipes - 80 wipes,,,,,,1,594.15,0,,,
,Petkin,Hygiene,Towels & Wipes ,URBAN PETS / MOTERA,11366,1,594.15,0,32772,BRANCH,Gujarat
UV Sterilizer Box,,,,,,1,"5,220.99",1,,,
,ABK,Miscellaneous,Miscellaneous,URBAN PETS / MOTERA,11364,1,"5,220.99",1,32772,BRANCH,Gujarat
Truelove Pet Boots Size - 7 Neon Orange,,,,,,1,0.26,0,,,
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11397,1,0.26,0,225,DISTRIBUTION CENTER,Gujarat
Truelove Pet Boots Size - 4 Neon Orange,,,,,,2,"2,648.94",2,,,
,True Love,Accessories,Shoes & Socks,URBAN PETS / MOTERA,11394,1,"1,324.47",1,32772,BRANCH,Gujarat
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11394,1,"1,324.47",1,225,DISTRIBUTION CENTER,Gujarat
Truelove Pet Boots Size - 2 Red,,,,,,1,"2,100.00",0,,,
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11388,1,"2,100.00",0,225,DISTRIBUTION CENTER,Gujarat
Truelove Pet Boots Size - 8 Neon Yellow,,,,,,1,"2,079.20",0,,,
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11386,1,"2,079.20",0,225,DISTRIBUTION CENTER,Gujarat
Truelove Pet Boots Size - 7 Neon Yellow,,,,,,1,"2,079.20",0,,,
,True Love,Accessories,Shoes & Socks,URBANPETS SERVICES PRIVATE LIMITED,11385,1,"2,079.20",0,225,DISTRIBUTION CENTER,Gujarat
negasunt powder 20 g,,,,,,1,156.40,0,,,
,Elanco,Medicine & Supplements ,Medicine ,URBANPETS SERVICES PRIVATE LIMITED,11419,1,156.40,0,225,DISTRIBUTION CENTER,Gujarat
Ektek Peanut Butter For Dogs 200gm,,,,,,1,220.00,0,,,
,EktekPharma,"Treats, Biscuits & Chews ",Treats  ,URBAN PETS / MOTERA,11417,1,220.00,0,32772,BRANCH,Gujarat
Intas Aventix Tab 1000mg,,,,,,1,"1,800.00",0,,,
,Intas,Medicine & Supplements ,Medicine ,URBAN PETS / MOTERA,11425,1,"1,800.00",0,32772,BRANCH,Gujarat
grain zero dog puppy 1.2 kg,,,,,,1,616.25,0,,,
,Grain Zero,Dog Food,Dry Food ,URBANPETS SERVICES PRIVATE LIMITED,11470,1,616.25,0,225,DISTRIBUTION CENTER,Gujarat
huft peanut butter and banana with prebiotics natural ice cream mix dog treat - 40 gm,,,,,,1,78.20,1,,,
,HUFT,"Treats, Biscuits & Chews ",Treats  ,URBAN PETS / MOTERA,11468,1,78.20,1,32772,BRANCH,Gujarat
huft strawberry and blueberry with prebiotics natural ice cream mix  dog treat - 40 gm,,,,,,1,78.20,1,,,
,HUFT,"Treats, Biscuits & Chews ",Treats  ,URBAN PETS / MOTERA,11467,1,78.20,1,32772,BRANCH,Gujarat
N and D Tropical Chicken Adult Mini 2 Kg,,,,,,1,"1,192.00",0,,,
