Damage No,Branch Name,Date,Item Code,Item Name,Exp Dt,Qty,Cost Price,Selling Price,MRP,GST %,GST taxAmt,Net Amt,Wastage Type
31,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,4981,Trixie Premium Touring Harness L-Xl 70-100cm/25mm Jet Black,,1.000,710.82,1525.00,1525.00,18,127.94,838.76,Wastage
31,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,4807,Trixie Silver Reflect Adjustable Leash L-XL 2.0mm / 25mm Black / Silver Grey,,1.000,696.83,1495.00,1495.00,18,125.42,822.25,Wastage
31,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8855,ZeeDog Bordeau Leash Small,,1.000,698.69,1499.00,1499.00,18,125.76,824.45,Wastage
31,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5737,ZeeDog Parker Leash Small,,1.000,698.69,1499.00,1499.00,18,125.76,824.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8948,Assortment Dog Hair Bows Set of 10 pcs,,1.000,722.46,1550.00,1550.00,18,130.04,852.50,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9216,Cooling Mat XL-XXL 100x60 cm Blue,,1.000,1363.35,2925.00,2925.00,18,245.40,1608.75,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5581,EZRA HART HARNESS SIZE 60 ORANGE,,1.000,1141.94,2450.00,2450.00,18,205.56,1347.50,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8689,EZRA HART HARNESS SIZE 65 BLUE,,1.000,1165.26,2500.00,2500.00,18,209.74,1375.00,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9178,KD C18 Brass Choke Chain No.1.4MM 24 Inch,,1.000,836.65,1795.00,1795.00,18,150.60,987.25,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9178,KD C18 Brass Choke Chain No.1.4MM 24 Inch,,1.000,836.65,1795.00,1795.00,18,150.60,987.25,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9157,KD C18 Brass Choke Chain No.1.4MM 26 Inch,,1.000,836.65,1795.00,1795.00,18,150.60,987.25,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9161,KD C42 Brass Choke Chain No.0.5MM 32 Inch,,1.000,927.49,1855.00,1855.00,18,166.96,1094.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8938,Ruffwear Front Range Leash Red Sumac Standard,,1.000,1185.84,1999.00,1999.00,18,213.46,1399.30,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7087,Supercoat Adult Healthy Weight 3 kg,2024-04-20,1.000,806.78,1190.00,1190.00,18,145.22,952.00,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8456,Trixie Extra Wide Premium Collar L-XXL 55-80CM/50MM Red,,1.000,696.83,1495.00,1495.00,18,125.42,822.25,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7022,Vet-Pro Obesity 3Kg,2025-10-30,3.000,614.41,1450.00,1450.00,18,331.78,2175.01,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8849,ZeeDog Army Green Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8873,ZeeDog Bliss Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5620,ZeeDog Ella Leash Large,,1.000,838.51,1799.00,1799.00,18,150.94,989.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8906,ZeeDog Fritz Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8879,ZeeDog Neon Coral Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5746,ZeeDog Parker Leash Large,,1.000,838.51,1799.00,1799.00,18,150.94,989.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5626,ZeeDog Phantom Leash Large,,1.000,838.51,1799.00,1799.00,18,150.94,989.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5631,ZeeDog Skull Leash Small,,1.000,698.69,1499.00,1499.00,18,125.76,824.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5608,ZeeDog Solarish Leash Large,,1.000,838.51,1799.00,1799.00,18,150.94,989.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8903,ZeeDog Ultimate Blue Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
30,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8903,ZeeDog Ultimate Blue Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7887,Earthbath Shed Control Shampoo w/green Tea and Awapuhi 16oz,2099-12-12,1.000,815.68,1750.00,1750.00,18,146.82,962.50,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8688,EZRA HART HARNESS SIZE 60 BLUE,,1.000,1141.94,2450.00,2450.00,18,205.56,1347.50,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8688,EZRA HART HARNESS SIZE 60 BLUE,,1.000,1141.94,2450.00,2450.00,18,205.56,1347.50,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5581,EZRA HART HARNESS SIZE 60 ORANGE,,2.000,1141.95,2450.00,2450.00,18,411.10,2695.00,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9157,KD C18 Brass Choke Chain No.1.4MM 26 Inch,,1.000,836.65,1795.00,1795.00,18,150.60,987.25,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9158,KD C18 Brass Choke Chain No.1.4MM 28 Inch,,1.000,836.65,1795.00,1795.00,18,150.60,987.25,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9158,KD C18 Brass Choke Chain No.1.4MM 28 Inch,,1.000,836.65,1795.00,1795.00,18,150.60,987.25,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9160,KD C42 Brass Choke Chain No.0.5MM 30 Inch,,1.000,927.49,1855.00,1855.00,18,166.96,1094.45,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9160,KD C42 Brass Choke Chain No.0.5MM 30 Inch,,1.000,927.49,1855.00,1855.00,18,166.96,1094.45,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3340,Kong Classic Large Toy,,1.000,835.28,1899.00,1899.00,18,150.36,985.64,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3071,Nexgard Dog 10- 25Kg,2099-12-12,2.000,1219.00,4200.00,4200.00,12,292.56,2730.56,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3072,Nexgard Dog 20-50 Kg,2099-12-12,1.000,1393.50,5200.00,5200.00,12,167.22,1560.72,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2956,OPUS LYSINE 100 Cat Paste,2099-12-12,1.000,983.06,1450.00,1450.00,18,176.94,1160.00,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3180,Pro Fiber Dog 500gm Pellets,2099-12-12,3.000,1043.39,1900.00,1900.00,18,563.44,3693.60,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,6790,Royal Canin Kitten 2KG,2024-02-03,5.000,1112.03,1620.00,1620.00,18,1000.82,6560.98,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,1961,Vet Life Dog Growth 2KG,2099-12-12,1.000,1245.76,2100.00,2100.00,18,224.24,1470.00,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8833,ZeeDog Midnight Air Mesh Harness S,,1.000,791.91,1699.00,1699.00,18,142.54,934.45,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8779,ZeeDog Prisma Air Mesh Harness  M,,1.000,1188.09,2549.00,2549.00,18,213.86,1401.95,Wastage
29,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8779,ZeeDog Prisma Air Mesh Harness  M,,1.000,1188.09,2549.00,2549.00,18,213.86,1401.95,Wastage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9504,"BE NORDIC Knot Ball On Rope, 8/30 cm",,1.000,202.95,475.00,475.00,18,36.54,239.49,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,326,E collar 3 No,,5.000,190.68,450.00,450.00,18,171.62,1125.01,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,326,E collar 3 No,,5.000,190.68,450.00,450.00,18,171.62,1125.01,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7470,Goodies Milky Bone Milk Large 12X1,2099-12-12,3.000,190.68,375.00,375.00,18,102.96,675.01,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9734,Hd Rope Leash - S,,3.000,190.68,450.00,450.00,18,102.96,675.01,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7922,Himalaya Erina Puppy Shampoo Conditioner 2 in 1 200 ml,2099-12-12,3.000,199.01,315.00,315.00,18,107.46,704.50,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7444,Love Chip 60 gm,2099-12-12,4.000,161.11,425.00,425.00,18,116.00,760.44,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2835,NR Reliflam Spray 75ML,2099-12-12,1.000,192.86,270.00,270.00,12,23.14,216.00,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2835,NR Reliflam Spray 75ML,2099-12-12,1.000,192.86,270.00,270.00,12,23.14,216.00,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9493,Playing Rope with Balls Latex Cotton Soundless 32cm,,1.000,192.15,425.00,425.00,18,34.58,226.73,Damage
28,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7578,Snackers Chicken Jerky 150 Gm,2099-12-12,1.000,193.22,475.00,475.00,18,34.78,228.00,Damage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2965,Allergia 30 Tabs,2099-12-12,5.000,220.00,330.00,330.00,18,198.00,1298.00,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9891,AR T-Shirt 16,,1.000,205.10,535.00,535.00,18,36.92,242.02,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9892,AR T-Shirt 18,,1.000,218.34,565.00,565.00,18,39.30,257.64,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9893,AR T-Shirt 20,,1.000,229.94,595.00,595.00,18,41.38,271.32,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8045,Aroma Groom Towel Green,2099-12-12,1.000,211.44,499.00,499.00,18,38.06,249.50,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8047,Aroma Groom Towel Pink/Purple,2099-12-12,1.000,211.44,499.00,499.00,18,38.06,249.50,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7905,Beaphar Black Coat Shampoo 250 ML,2099-12-12,1.000,218.64,430.00,430.00,18,39.36,258.00,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7310,Beaphar Double Action Paste Liver 100g,2099-12-12,1.000,223.72,400.00,400.00,18,40.28,264.00,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8381,Classic Lead Adjustable L-XL 4.0-6.oft.25mm Black,,1.000,213.22,499.00,499.00,18,38.38,251.60,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,10294,Dog Toy Ball Dia 6cm,,1.000,230.73,495.00,495.00,18,41.52,272.25,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7331,Drools Pup Booster 300gm,2026-02-28,2.000,224.25,299.00,299.00,18,0.00,448.50,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2667,Ear Wipes 30 Pcs,2028-05-30,1.000,209.75,450.00,450.00,18,37.76,247.51,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7250,Fresh For Paws Peanut Butter 250G,2099-12-12,1.000,221.39,475.00,475.00,18,39.86,261.25,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9502,Knotted Ball Natural Rubber 7cm,,2.000,219.20,495.00,495.00,18,78.90,517.29,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8319,Muzzle Plastic M-L 26CM Black,,2.000,211.51,495.00,495.00,18,76.14,499.16,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,6732,Protective E Collar With Velcro S 25-32Cm 12cm,,1.000,220.06,515.00,515.00,18,39.60,259.66,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5982,Sancoat 150ml,2099-12-12,1.000,212.00,350.00,350.00,18,0.00,212.00,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8384,Trixie Premium Collar L-XL 40-65Cm/25mm Jet Black,,1.000,211.50,495.00,495.00,18,38.08,249.58,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5624,ZeeDog Phantom Collar (Cat),,1.000,232.58,499.00,499.00,18,41.86,274.44,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,8343,ZeeDog Poop Bags,2099-12-12,2.000,232.58,499.00,499.00,18,83.72,548.89,Wastage
27,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5692,ZeeDog Prisma Collar Cat,,1.000,232.58,499.00,499.00,18,41.86,274.44,Wastage
26,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9894,AR T-Shirt 24,,5.000,241.11,625.00,625.00,18,217.00,1422.55,Wastage
26,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9591,Flea and Dust Comb 21 cm,,3.000,235.01,550.00,550.00,18,126.90,831.94,Wastage
26,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9532,"Junior Rustling Branch, Natural Rubber, 10 cm",,1.000,245.69,575.00,575.00,18,44.22,289.91,Wastage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2671,Catnip Play Spray 175ml,2099-12-12,3.000,160.23,375.00,375.00,18,86.52,567.21,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7167,Cesar Tuna with White Meat Fish and Vegetables 100 gm,2099-12-12,12.000,69.92,110.00,110.00,18,151.02,990.07,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2888,Clavam 375mg Tablet,2099-12-12,175.000,109.05,171.00,171.00,12,2290.06,21373.80,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2584,Dermopile Pet Shampoo 200ml,2099-12-12,10.000,86.40,242.00,242.00,12,103.68,967.68,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5989,DICINE 2ML INJ,2099-12-12,37.000,80.96,190.00,190.00,5,149.78,3145.30,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,7960,Dog Toothpaste With Tea Tree Oil 100 gms,2025-08-30,2.000,128.18,275.00,275.00,18,46.14,302.50,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,327,E collar 1 No,,5.000,114.41,270.00,270.00,18,102.96,675.02,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,327,E collar 1 No,,4.000,114.41,270.00,270.00,18,82.38,540.02,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,327,E collar 1 No,,1.000,114.40,270.00,270.00,18,20.60,135.00,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2790,Fondapet Deodrant,2099-12-12,9.000,114.41,250.00,250.00,18,185.34,1215.03,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2812,Himalaya WND-Heal PRD 100gm,2099-12-12,58.000,90.00,200.00,200.00,12,626.40,5846.40,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,5995,Komlinz 600mg Tab,2099-12-12,238.000,86.24,142.00,142.00,12,2463.02,22988.13,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3042,Mankind Emikind Pet Syrup,2099-12-12,23.000,107.14,180.00,180.00,12,295.70,2759.93,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,9755,Munchy Mix Flavour 1kg,2024-10-30,18.000,93.22,220.00,220.00,18,302.04,1979.99,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,2893,Neem Capsule,2099-12-12,5.000,96.75,136.00,136.00,5,24.18,507.94,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,6095,Omega shine 30Tab,2099-12-12,20.000,135.06,360.00,360.00,18,486.22,3187.42,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3139,Pet-O Lite Syrup 100ml,2099-12-12,7.000,100.00,200.00,200.00,12,84.00,784.00,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3078,Pil Spectrapil Pet Lotion,2099-12-12,4.000,126.04,211.75,211.75,18,0.00,504.16,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,3126,Sava Vetachlor -  M Spray,2099-12-12,2.000,142.86,200.00,200.00,12,34.28,320.01,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,4055,SM-048 Munchees Braided Mix,2099-12-12,14.000,169.49,400.00,400.00,18,427.12,2799.97,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,6929,TEMP Tasty Chicken 85G,2099-12-12,4.000,95.34,150.00,150.00,18,68.64,450.00,Damage
25,URBANPETS SERVICES PRIVATE LIMITED,2024-04-19,6929,TEMP Tasty Chicken 85G,2099-12-12,1.000,95.34,150.00,150.00,18,17.16,112.50,Damage
24,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2888,Clavam 375mg Tablet,2099-12-12,15.000,109.05,171.00,171.00,12,196.30,1832.04,Wastage
24,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2929,Fixotic Spray,2099-12-12,6.000,230.02,498.00,498.00,12,165.62,1545.73,Wastage
24,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2790,Fondapet Deodrant,2099-12-12,4.000,114.41,250.00,250.00,18,82.38,540.02,Wastage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2348,Andis Flea Comb White/Lime Green,,1.000,467.85,1095.00,1095.00,18,84.22,552.07,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2347,Andis Self Cleaning Slicker Brush W-L Green,,1.000,596.06,1395.00,1395.00,18,107.30,703.36,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2554,Aroma Groom Spirit Deodorizing Shampoo-500ml,2099-12-12,1.000,275.42,650.00,650.00,18,49.58,325.00,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2551,Aroma Groom Spirit Puppies Shampoo-500 ml,2099-12-12,1.000,275.42,650.00,650.00,18,49.58,325.00,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2272,GR-052 Slicker Brush Steel-L,,1.000,351.71,830.00,830.00,18,63.30,415.01,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2581,Hug N Wag 4 in 1 Essential Care 5 ltr,2099-12-12,1.000,1415.60,2900.00,2900.00,18,254.80,1670.40,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2537,petkin Plaque Spray 120 ml Coolmint,2099-12-12,1.000,298.68,699.00,699.00,18,53.76,352.44,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2417,TTK Big Boss Shampoo,2099-12-12,6.000,123.21,230.00,230.00,12,88.72,827.97,Damage
23,URBANPETS SERVICES PRIVATE LIMITED,2024-04-09,2472,Virbac Sebolytic Shampoo 200ML,2099-12-12,3.000,351.58,605.00,605.00,18,189.86,1244.59,Damage
22,URBANPETS SERVICES PRIVATE LIMITED,2024-04-06,1536,Drools Adult Optimum Performance Dog Food 20kg,2099-12-12,1.000,2129.24,3350.00,3350.00,18,383.26,2512.50,Damage
22,URBANPETS SERVICES PRIVATE LIMITED,2024-04-06,8146,M-Pets Combi Bowl X Large 2X1500ml Beige and White,,1.000,1482.62,3499.00,3499.00,18,266.88,1749.50,Damage
22,URBANPETS SERVICES PRIVATE LIMITED,2024-04-06,7102,N and D GF PKN LB BB Puppy Med-Maxi 2.5KG,2099-12-12,5.000,1426.29,2650.00,2650.00,18,1283.66,8415.11,Damage
22,URBANPETS SERVICES PRIVATE LIMITED,2024-04-06,6977,SH- Adult Chicken and Egg 20KG,2025-05-30,1.000,2349.16,3850.00,3850.00,18,422.84,2772.00,Damage
22,URBANPETS SERVICES PRIVATE LIMITED,2024-04-06,5977,Vet Pro renal 8kg,2099-12-12,1.000,1567.38,3699.00,3699.00,18,282.12,1849.50,Damage
21,URBANPETS SERVICES PRIVATE LIMITED,2024-03-21,ITEM01,Pet Care Item,,6.000,4215.90,6467.19,6467.19,18,4553.17,29848.55,Wastage
20,URBANPETS SERVICES PRIVATE LIMITED,2024-03-17,ITEM01,Pet Care Item,,3.000,2979.66,4570.80,4570.80,18,1609.02,10548.00,Damage
19,URBANPETS SERVICES PRIVATE LIMITED,2024-03-17,ITEM01,Pet Care Item,,525.000,23.06,35.38,35.38,18,2179.24,14286.13,Wastage
18,URBANPETS SERVICES PRIVATE LIMITED,2024-03-17,ITEM01,Pet Care Item,,18.000,356.84,547.40,547.40,18,1156.17,7579.37,Wastage
17,URBANPETS SERVICES PRIVATE LIMITED,2024-03-17,ITEM01,Pet Care Item,,80.000,186.77,286.50,286.50,18,2689.44,17630.74,Damage
16,URBANPETS SERVICES PRIVATE LIMITED,2024-03-17,ITEM01,Pet Care Item,,72.000,518.95,796.07,796.07,18,6725.60,44090.04,Damage
15,URBANPETS SERVICES PRIVATE LIMITED,2024-03-17,ITEM01,Pet Care Item,,29.000,667.22,1023.52,1023.52,18,3482.89,22832.27,Damage
11,URBANPETS SERVICES PRIVATE LIMITED,2024-03-01,ITEM01,Pet Care Item,,16.000,3102.59,4759.37,4759.37,18,8935.46,58576.92,Wastage
10,URBANPETS SERVICES PRIVATE LIMITED,2024-02-29,ITEM01,Pet Care Item,,16.000,1707.00,2618.54,2618.54,18,4916.17,32228.20,Wastage
9,URBANPETS SERVICES PRIVATE LIMITED,2024-02-29,ITEM01,Pet Care Item,,3.000,1379.68,2116.43,2116.43,18,745.03,4884.07,Damage
8,URBANPETS SERVICES PRIVATE LIMITED,2024-02-29,ITEM01,Pet Care Item,,13.000,829.85,1272.99,1272.99,18,1941.86,12729.95,Damage
7,URBANPETS SERVICES PRIVATE LIMITED,2024-02-29,ITEM01,Pet Care Item,,23.000,432.77,663.87,663.87,18,1791.66,11745.34,Theft
6,URBANPETS SERVICES PRIVATE LIMITED,2024-02-29,ITEM01,Pet Care Item,,30.000,260.60,399.76,399.76,18,1407.25,9225.33,Wastage
5,URBANPETS SERVICES PRIVATE LIMITED,2024-02-28,ITEM01,Pet Care Item,,101.000,115.71,177.50,177.50,18,2103.62,13790.41,Wastage
4,URBANPETS SERVICES PRIVATE LIMITED,2024-02-19,ITEM01,Pet Care Item,,60.000,130.81,200.66,200.66,18,1412.73,9261.22,Damage
3,URBANPETS SERVICES PRIVATE LIMITED,2024-02-19,ITEM01,Pet Care Item,,14.000,3934.16,6035.00,6035.00,18,9914.08,64992.30,Theft
2,URBANPETS SERVICES PRIVATE LIMITED,2024-02-19,ITEM01,Pet Care Item,,18.000,3713.87,5697.08,5697.08,18,12032.94,78882.62,Damage
1,URBANPETS SERVICES PRIVATE LIMITED,2024-02-19,ITEM01,Pet Care Item,,6.000,7638.80,11717.91,11717.91,18,8249.90,54082.68,Wastage
