"Current Stock Branchwise 
 Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Item code,Item alias,Store ID,Item name,Batch no,Stock,Code,Cost,Selling,MRP,Landing,Net cost,Value on landing,Value on netcost,Value on selling,GST Perc,Expiry date,Supplier Name,Business Type,Status,HSN Code,Unicode,ERP code,Old Batch No,Old Expiry Date,Old MFR Date,Received Qty,Asset stock,Consumable stock,Conversion Factor,Damage,Demo stock,ISBN,Brand code,Brand name,Mfg Date,Qty in CLD,Qty in PCs,Rental stock,Replacement stock,Reserve,State,Store
Trixie,Accessories,E-collar & Muzzle ,327,,225,E collar 1 No, ,1,32850,114.41,270.00,270.00,135.01,114.41,135.01,114.41,270.00,18.00,,MAHIMA ENTERPRISE,DISTRIBUTION CENTER,Active,39269099,,urbanpets,E327-5642,,,2,0,0,0.00,0,0,,218,Trixie,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Trixie,Accessories,E-collar & Muzzle ,327,,225,E collar 1 No, ,4,32850,114.41,270.00,270.00,135.01,114.41,540.02,457.64,"1,080.00",18.00,,MAHIMA ENTERPRISE,DISTRIBUTION CENTER,Active,39269099,,urbanpets,E327-768,,,4,0,0,0.00,0,0,,218,Trixie,,0.00,4.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Smartypet,Accessories,E-collar & Muzzle ,355,,225,SP Plastic Muzzle No.7, ,1,32745,99.15,550.00,550.00,99.15,99.15,99.15,99.15,550.00,18.00,,Smartypet Pet Products,DISTRIBUTION CENTER,Active,42010000,0,urbanpets,S355-6123,,,1,0,0,0.00,0,0,,206,Smartypet,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Smartypet,Accessories,E-collar & Muzzle ,359,,225,SP Plastic Muzzle No.1, ,1,32745,45.76,160.00,160.00,45.76,45.76,45.76,45.76,160.00,18.00,,Smartypet Pet Products,DISTRIBUTION CENTER,Active,42010000,0,urbanpets,S359-6128,,,1,0,0,0.00,0,0,,206,Smartypet,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Smartypet,Accessories,E-collar & Muzzle ,374,,225,SP Plastic Muzzle No.2, ,1,32745,49.58,190.00,190.00,49.58,49.58,49.58,49.58,190.00,18.00,,Smartypet Pet Products,DISTRIBUTION CENTER,Active,42010000,0,urbanpets,S374-6127,,,1,0,0,0.00,0,0,,206,Smartypet,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Manufacturer,Accessories,E-collar & Muzzle ,481,,225,E collar 2 No, ,2,32850,148.30,350.00,350.00,174.99,148.30,349.99,296.60,700.00,18.00,,MAHIMA ENTERPRISE,DISTRIBUTION CENTER,Active,39269099,,urbanpets,E481-9162,,,3,0,0,0.00,0,0,,1,Manufacturer,,0.00,2.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Manufacturer,Accessories,E-collar & Muzzle ,481,,225,E collar 2 No, ,4,32850,148.30,350.00,350.00,175.00,148.30,699.98,593.20,"1,400.00",18.00,,MAHIMA ENTERPRISE,DISTRIBUTION CENTER,Active,39269099,,urbanpets,E481-769,,,4,0,0,0.00,0,0,,1,Manufacturer,,0.00,4.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Lal Pet Products,Bowls & Water Bottle ,Bowl,638,,225,Adjustable Feeding Stand U Type- S, ,1,32710,500.00,"1,075.00","1,075.00",590.00,500.00,590.00,500.00,"1,075.00",18.00,,Shreeji Pet Shop,DISTRIBUTION CENTER,Active,72171010,,urbanpets,A638-8677,,,1,0,0,0.00,0,0,,118,Lal Pet Products,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
M-Pets,Bowls & Water Bottle ,Bowl,740,,225,M-Pets Plastic Single Bowl (S) 475ML, ,2,32710,92.48,225.00,225.00,109.13,92.48,218.25,184.96,450.00,18.00,,Shreeji Pet Shop,DISTRIBUTION CENTER,Active,39269091,,urbanpets,M740-8678,,,2,0,0,0.00,0,0,5415341000582,125,M-Pets,,0.00,2.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Whiskas,Cat Food,Dry Food ,767,,225,Whiskas Adult Ocean Fish 1.2KG, ,1,32679,317.80,450.00,450.00,317.80,294.13,317.80,294.13,450.00,18.00,2027-10-13,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,W767-397,2027-10-13,,2,0,0,0.00,0,0,9310022866104,243,Whiskas,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Whiskas,Cat Food,Dry Food ,771,,225,Whiskas Adult Tuna 3KG, ,2,32679,790.95,"1,120.00","1,120.00",790.95,704.42,"1,581.90","1,408.84","2,240.00",18.00,2027-09-04,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,W771-964,2027-09-04,,2,0,0,0.00,0,0,8853301400084,243,Whiskas,,0.00,2.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Whiskas,Cat Food,Dry Food ,779,,225,Whiskas Adult Ocean Fish 7KG, ,1,32679,"1,477.97","2,180.00","2,180.00","1,477.97","1,455.51","1,477.97","1,455.51","2,180.00",18.00,2027-07-17,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,W779-980,2027-07-17,,1,0,0,0.00,0,0,,243,Whiskas,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Whiskas,Cat Food,Dry Food ,779,,225,Whiskas Adult Ocean Fish 7KG, ,1,32679,"1,477.97","2,180.00","2,180.00","1,717.50","1,455.51","1,717.50","1,455.51","2,180.00",18.00,2027-07-17,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,W779-8044,2027-07-17,,2,0,0,0.00,0,0,,243,Whiskas,,0.00,1.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
Royal Canin,Cat Food,Dry Food ,820,,225,Royal Canin Persian adult 2KG, ,2,32679,"1,853.39","2,700.00","2,700.00","1,853.39","1,634.69","3,706.78","3,269.38","5,400.00",18.00,2027-06-29,Jay Projects,DISTRIBUTION CENTER,Active,23091000,0,urbanpets,R820-8979,2027-06-29,,2,0,0,0.00,0,0,3182550702614,192,Royal Canin,,0.00,2.00,0,0,0.00,Gujarat,URBANPETS SERVICES PRIVATE LIMITED
