"Stock Update Detail 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Stock update no.,Stock update date,Approved Date,Item code,Item name,HSN Code,Alias Name,Batch no,Physical Qty,Actual Qty,Difference Qty,Status,Landing cost,MRP,Selling,Cost amount,Selling amount,Expiry date,Brand code,ERP code,Brand name,Issue format,Reason,Source,Remarks,Conversion unit,Message,Business Type,Branch Code,Branch Name,State
528,2024-05-07,2024-05-08,7671,JH Chicken Milky Stick 400G,23091000,,,0,1,-1,Approved & Adjusted,444.00,950.00,950.00,-444.00,-950.00,2024-10-18,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7671,JH Chicken Milky Stick 400G,23091000,,,2,3,-1,Approved & Adjusted,444.00,950.00,950.00,-444.00,-950.00,2025-02-25,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7674,JH Carrot Stick 420G,23091000,,,3,1,2,Approved & Adjusted,538.08,950.00,950.00,"1,076.16","1,900.00",2025-08-30,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7681,JH 100G Blueberry,23091000,,,0,1,-1,Approved & Adjusted,115.20,260.00,260.00,-115.20,-260.00,2099-12-12,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7641,JH 100G Carrot Stix 100G,23091000,,,14,6,8,Approved & Adjusted,104.50,260.00,260.00,836.00,"2,080.00",2025-08-03,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7680,JH 100G Strawberry,23091000,,,0,5,-5,Approved & Adjusted,115.20,260.00,260.00,-576.00,"-1,300.00",2025-07-27,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7680,JH 100G Strawberry,23091000,,,4,6,-2,Approved & Adjusted,115.20,260.00,260.00,-230.40,-520.00,2024-12-23,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7653,JH 100G Spinach Stix,23091000,,,0,1,-1,Approved & Adjusted,104.50,260.00,260.00,-104.50,-260.00,2099-12-12,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7682,JH 100G Banana,23091000,,,2,4,-2,Approved & Adjusted,115.20,260.00,260.00,-230.40,-520.00,2024-08-15,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7503,JH 70G Blueberry,23091000,,,8,6,2,Approved & Adjusted,78.38,199.00,199.00,156.76,398.00,2099-12-12,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7503,JH 70G Blueberry,23091000,,,0,2,-2,Approved & Adjusted,78.38,199.00,199.00,-156.76,-398.00,2025-02-25,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7663,JH 70G Strawberry,23091000,,,10,1,9,Approved & Adjusted,78.38,199.00,199.00,705.42,"1,791.00",2025-04-30,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7495,Goodies Spira Twist Sticks Milk and Cheese 450G,23091000,,,2,1,1,Approved & Adjusted,337.00,675.00,675.00,337.00,675.00,2025-08-30,94,urbanpets,Goodies, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7762,JH 70g Morning Time Stick,23091000,,,1,2,-1,Approved & Adjusted,88.80,199.00,199.00,-88.80,-199.00,2099-12-12,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7667,JH Duo Stick Milky Banana Stick 50G,23091000,,,5,4,1,Approved & Adjusted,84.00,199.00,199.00,84.00,199.00,2025-08-30,107,urbanpets,JerHigh, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7473,Goodies Treat Lamb 500G,23091000,,,0,5,-5,Approved & Adjusted,249.60,575.00,575.00,"-1,248.00","-2,875.00",2025-04-03,94,urbanpets,Goodies, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7473,Goodies Treat Lamb 500G,23091000,,,6,1,5,Approved & Adjusted,249.60,625.00,625.00,"1,248.00","3,125.00",2099-12-12,94,urbanpets,Goodies, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
528,2024-05-07,2024-05-08,7475,Goodies Treat Chlorophyll 500G,23091000,,,4,3,1,Approved & Adjusted,249.60,625.00,625.00,249.60,625.00,2025-11-13,94,urbanpets,Goodies, ,,GoSure,.,UNIT,.,DISTRIBUTION CENTER,225,URBANPETS SERVICES PRIVATE LIMITED,Gujarat
