"Categorywise Stock Age Analysis 
 DATE : from 01-09-2026 11-09-2026 ; Show Amount : Purchase Net ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
 name,<30 days,<30 days value,>30_to_<60 days,>30_to_<60 days value,>60_to_<90 days,>60_to_<90 days value,>90_to_<120 days,>90_to_<120 days value,>120 days,>120 days value,Total,Total stock value
,,,,,,,,,,,,
Hopping Tails,0,0,1,"1,271",0,0,0,0,222,"30,365",223,"31,635.83"
HUFT,15,"2,126",2,541,0,0,0,0,4,517,21,"3,183.36"
Hunger Tail,0,0,78,0,2,0,0,0,0,0,80,0.00
Hydra  ,0,0,18,"20,908",4,"2,384",0,0,5,"4,520",27,"27,811.80"
Hygiene,338,"53,725",392,"83,165",969,"60,782",24,"20,405",799,"81,141","2,522","299,218.27"
Intas,7,"1,012",0,0,0,0,0,0,19,"1,589",26,"2,601.83"
Intersand Cat Exclusive,0,0,7,"4,953",0,0,0,0,0,0,7,"4,952.60"
JerHigh,360,"68,021","2,139","116,522",347,"65,155",55,"9,983",312,"26,453","3,213","286,133.94"
KARDIOLI,0,0,11,"10,613",0,0,0,0,2,"1,954",13,"12,567.47"
Kennel,0,0,53,"36,132",0,0,0,0,0,0,53,"36,131.99"
Kennel Doggy,0,0,22,"11,706",0,0,0,0,63,"29,047",85,"40,752.66"
Kittos ,0,0,93,"1,470",0,0,0,0,49,"2,636",142,"4,106.12"
Kitty Yums,310,4,7,"3,244",0,0,0,0,45,"4,152",362,"7,400.46"
Kong ,0,0,0,0,0,0,0,0,44,"23,099",44,"23,099.25"
Lal Pet Products,6,435,2,308,0,0,0,0,7,"1,945",15,"2,688.16"
Lets Bite,0,0,0,0,16,"23,919",0,0,0,0,16,"23,918.56"
Lozalo,0,0,20,0,1,"1,831",38,0,125,590,184,"2,420.81"
M & K,0,0,0,0,2,"8,185",0,0,0,0,2,"8,185.26"
M-Pets,0,0,3,"3,489",45,"30,254",7,"1,735",105,"36,346",160,"71,825.16"
mahima enterprise,38,"7,054",0,0,17,"2,149",1,200,13,"3,776",69,"13,179.18"
MANKIND,0,0,26,"2,913",0,0,0,0,5,848,31,"3,760.16"
Manufacturer,452,"87,317",253,"63,559",572,"22,630",102,"12,475","1,472","140,166","2,851","326,146.88"
Marvo,0,0,0,0,0,0,0,0,1,25,1,25.14
MATISSE,0,0,0,0,1,958,0,0,1,53,2,"1,010.62"
Maxi,634,"321,929",8,426,18,"5,629",0,0,3,193,663,"328,177.63"
ME-O,181,"57,306",108,"28,682",86,"8,645",0,0,273,"10,949",648,"105,581.83"
Medicines,98,"23,292",328,"20,080",1,519,414,"26,664",186,"26,051","1,027","96,606.10"
Misc,11,"2,634",7,"10,306",43,"8,571",0,0,178,"9,266",239,"30,776.82"
Moochie,0,0,0,0,0,0,"1,482","47,854",4,97,"1,486","47,950.74"
My Beau ,10,"9,915",9,"10,659",15,"16,222",1,"1,184",16,"14,440",51,"52,420.81"
N-Bone,0,0,0,0,14,"1,789",0,0,1,126,15,"1,914.55"
Natural Remedies,17,"12,974",0,0,2,"1,938",18,"5,340",5,941,42,"21,192.74"
Naughty Pet,764,"61,618",0,0,12,873,0,0,10,130,786,"62,621.48"
NEPOCEF,"1,000","9,900",0,0,0,0,0,0,89,923,"1,089","10,822.93"
Nerfpet,0,0,0,0,0,0,0,0,2,692,2,691.68
NexGard,0,0,0,0,0,0,0,0,1,"1,308",1,"1,308.30"
Nutrisource,27,"36,342",0,0,0,0,0,0,0,0,27,"36,342.09"
Nylabone,0,0,0,0,0,0,0,0,1,559,1,558.91
Obex,0,0,0,0,0,0,0,0,9,"8,244",9,"8,243.91"
OPUS,0,0,0,0,0,0,0,0,13,"2,350",13,"2,350.27"
ORIHEAL,0,0,40,"5,714",0,0,0,0,3,343,43,"6,057.54"
Orijen,0,0,0,0,10,"37,841",3,"23,490",6,"29,180",19,"90,510.46"
other,486,"50,151",469,"29,838",558,"47,289",26,"5,469",333,"52,527","1,872","185,273.96"
Our Pets,0,0,0,0,0,0,0,0,1,90,1,90.03
OUT!,0,0,0,0,0,0,0,0,14,"6,242",14,"6,242.00"
Outward Hound ,0,0,0,0,0,0,0,0,2,"1,531",2,"1,531.25"
Panav Bio-Tech,0,0,0,0,0,0,0,0,23,"1,739",23,"1,739.49"
Patina,0,0,0,0,0,0,0,0,2,393,2,392.86
Pawise ,0,0,0,0,0,0,0,0,3,471,3,470.58
Pawpaya,0,0,0,0,1,160,0,0,4,351,5,510.95
Pawsindia,0,0,0,0,0,0,0,0,7,"3,593",7,"3,592.74"
PAWSOME COMPANIONS,0,0,0,0,0,0,0,0,1,597,1,597.38
PAWZ,0,0,0,0,0,0,0,0,9,"7,383",9,"7,383.47"
Pedigree,843,"121,671",151,"36,908","1,492","79,429","1,312","105,157","1,128","39,308","4,926","382,472.91"
Pet Brands,0,0,0,0,0,0,0,0,1,268,1,268.01
Pet Like That Solutions Llp,0,0,0,0,0,0,0,0,3,"1,423",3,"1,422.77"
Pet Pattern,55,"10,058",0,0,0,0,0,0,0,0,55,"10,057.50"
Pet Wear,0,0,0,0,0,0,0,0,502,"219,575",502,"219,575.42"
Petaholic,24,"9,857",3,"1,536",120,"34,958",0,0,327,"123,800",474,"170,151.47"
Petbest,433,"4,676",2,22,0,0,0,0,0,0,435,"4,698.00"
PETCARE,0,0,19,"5,856",10,"2,540",0,0,1,230,30,"8,626.55"
Petkin,0,0,0,0,55,"18,058",0,0,16,"4,638",71,"22,696.38"
Pets Empire,0,0,0,0,26,"18,459",0,0,10,"1,049",36,"19,507.66"
Petset GO,0,0,0,0,0,0,0,0,4,607,4,607.14
Petsport ,0,0,0,0,0,0,0,0,13,"4,351",13,"4,351.00"
Petstages ,0,0,0,0,0,0,0,0,18,"10,435",18,"10,435.44"
Petstar,5,237,2,"1,843",0,0,0,0,4,"1,838",11,"3,918.32"
Pfizer,0,0,0,0,36,310,0,0,16,138,52,447.20
Platorica,0,0,0,0,0,0,0,0,2,753,2,752.64
Proplan,17,"50,923",0,0,17,"53,138",14,"2,407",9,"13,698",57,"120,165.84"
Protex,0,0,0,0,0,0,0,0,18,"15,297",18,"15,296.61"
Pup Ice,0,0,16,"3,002",16,"2,871",0,0,5,897,37,"6,770.21"
Purepet,262,"58,070",47,"26,902",3,"2,296",10,"1,458",478,"11,495",800,"100,220.07"
Purina,809,"26,953",96,"3,211",7,204,0,0,1,33,913,"30,402.53"
Rectus Remedies,0,0,0,0,0,0,0,0,14,"1,444",14,"1,443.70"
Rena,0,0,125,"15,127",24,"5,655",73,"13,149",51,"7,053",273,"40,983.25"
Royal Canin,770,"641,340",250,"231,809",198,"54,796",17,"59,900",48,"44,551","1,283","1,032,395.82"
Rubba Gumma ,0,0,0,0,0,0,0,0,1,165,1,165.07
Ruffwear ,0,0,0,0,0,0,0,0,50,"102,419",50,"102,419.49"
S.R.K. Pharma,0,0,0,0,0,0,0,0,35,"9,275",35,"9,275.35"
Sava Vet ,"1,411","40,071",96,"18,173",275,"50,234",11,"2,909",740,"36,196","2,533","147,583.13"
Savic,0,0,0,0,0,0,1,378,6,"4,462",7,"4,839.79"
Scientific Remedies,0,0,78,"13,380",0,0,0,0,0,0,78,"13,379.69"
Sheba,939,"39,953",979,"40,863",1,50,1,32,155,"10,341","2,075","91,238.92"
Shreeji Pet Shop,2,839,281,"69,876",117,"10,906",3,909,82,"6,918",485,"89,448.34"
Signature,3,"3,011",1,595,0,0,0,0,0,0,4,"3,605.94"
Simple Solution,0,0,0,0,20,"15,318",0,0,17,"10,984",37,"26,302.06"
SkyEC,5,788,0,0,0,0,0,0,65,"26,077",70,"26,864.98"
Smart Heart,2,"4,649",110,"39,190",89,"2,687",4,"8,123",87,"5,127",292,"59,776.91"
Smartypet,14,"7,705",0,0,0,0,26,"22,676",69,"25,995",109,"56,376.12"
Sniffy,0,0,15,"26,962",0,0,27,"8,711",7,"11,637",49,"47,310.33"
Snookie,710,"99,832",203,"28,901",0,0,298,"42,152",252,"35,618","1,463","206,502.98"
Snookie - Sai International,0,0,0,0,0,0,0,0,23,"2,530",23,"2,530.00"
SRK,0,0,0,0,0,0,0,0,9,763,9,762.75
Super Bone,0,0,246,"41,722",0,0,0,0,18,"2,597",264,"44,319.09"
Supercoat,29,"49,771",5,"6,350",2,865,0,0,15,"9,756",51,"66,742.05"
Temptation,65,"6,101",3,282,35,"3,285",0,0,8,873,111,"10,541.31"
Toptail,0,0,0,0,0,0,0,0,331,"9,884",331,"9,884.23"
Trixie,29,"4,748",2,"2,374",27,"5,843",8,669,470,"161,341",536,"174,975.92"
Tropiclean ,0,0,0,0,0,0,0,0,9,"4,613",9,"4,613.15"
True Love,0,0,0,0,2,"2,650",0,0,25,"28,357",27,"31,006.72"
Truly,0,0,0,0,0,0,0,0,10,712,10,712.31
TTK,100,"10,349",0,0,0,0,9,"2,636",842,"21,482",951,"34,466.89"
Twistix,0,0,25,"13,897",11,"8,907",0,0,16,"6,699",52,"29,502.19"
UNITED BIOTECH,60,"11,613",0,0,0,0,0,0,15,"2,732",75,"14,344.80"
Urine Off ,0,0,0,0,0,0,0,0,5,"2,073",5,"2,072.97"
Veko,0,0,18,"1,731",0,0,0,0,6,457,24,"2,188.14"
Venky,0,0,0,0,7,"3,452",0,0,0,0,7,"3,452.33"
Vet Life,83,"149,447",6,"10,946",39,"38,511",3,"5,180",17,"7,079",148,"211,164.31"
Vet pro ,0,0,91,1,0,0,0,0,27,"1,531",118,"1,532.16"
Vet-Pro,0,0,65,1,0,0,0,0,6,231,71,231.82
Vetina ,19,"5,415",29,"2,578",28,"8,305",0,0,24,"3,723",100,"20,020.60"
Vetoquinol,31,"4,045",5,565,0,0,0,0,116,"25,036",152,"29,646.03"
Vetrina,58,"7,230",0,0,0,0,0,0,11,"2,237",69,"9,467.78"
Virbac,76,"50,922",122,"27,932",214,"75,761",57,"28,230",236,"70,691",705,"253,535.64"
Vitapol,11,"3,063",0,0,11,"3,484",0,0,3,591,25,"7,138.59"
Vitax,0,0,0,0,0,0,0,0,8,"1,708",8,"1,708.48"
Vitex ,27,"3,967",0,0,0,0,5,771,0,0,32,"4,738.78"
Vivaan Lifesciences,0,0,0,0,0,0,0,0,17,154,17,153.68
Vivaldis,246,"121,416",137,"65,792",410,"31,046",219,"48,216",149,"71,627","1,161","338,097.42"
Wahl,0,0,0,0,0,0,0,0,4,"47,287",4,"47,287.49"
Wanpy,0,0,0,0,0,0,0,0,13,"1,501",13,"1,501.48"
Well Fed,0,0,0,0,0,0,0,0,1,165,1,165.25
Whiskas,36,"17,229","4,730","152,813",11,"7,092",140,"4,778",90,"11,028","5,007","192,939.61"
Woof & Brew,0,0,0,0,0,0,0,0,2,304,2,303.64
Worlds Best cat Food,0,0,7,0,0,0,0,0,1,215,8,215.48
ZeeDog,6,435,0,0,0,0,0,0,133,"121,835",139,"122,269.88"
Zenex AH,9,"2,352",0,0,24,"4,166",0,0,34,"6,525",67,"13,043.82"
Zippy,0,0,403,"43,740",0,0,1,178,47,"11,479",451,"55,397.41"
Zoetis,0,0,7,"8,488",11,"16,181",0,0,13,"11,774",31,"36,443.01"
zydus,32,"2,288",0,0,0,0,0,0,0,0,32,"2,288.00"
