"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN",,,,
"Categorywise Branchwise current stock Detail 
 Location : URBANPETS SERVICES PRIVATE LIMITED ; 
",,,,
Branch name,Received Qty,Current stock,Stock value on landing cost,Stock value on selling
Grand Total,"445,069","21,482","3,559,830.20","6,168,812.24"
URBANPETS SERVICES PRIVATE LIMITEDCode:225,"445,069","21,482","3,559,830.20","6,168,812.24"
