"Stock in Transit 
 DATE : from 01-04-2024 11-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Branch ID,Branch,Branch name,TO date,Branch No,Alias Name,Total items,TO amount,Stock class,TO qty.
,,,,,,7,"3,519.41",,
225,URBANPETS SERVICES PRIVATE LIMITED,URBAN PETS / MOTERA,2026-09-10,2061,,2,"1,028.58",1,2
32772,URBAN PETS / MOTERA,URBANPETS SERVICES PRIVATE LIMITED,2026-09-10,3203,,5,"2,490.83",1,5
