"Supplier Vs Items 
 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
Item code,Alias Name,Item name,Supplier Name,Discount %,Cost,Selling,MRP
,,,,,,,
46,,Pedigree Puppy Chicken and Liver in Gravy 350gm,Rana Enterprise,0,"1,016.95","1,500.00","1,500.00"
47,,Pedigree Tasty Bites Chewy Cubes Chunks Lamb 50g,Jay Projects,0,80.79,150.00,150.00
48,,1INCH X 5 SINGLE LEAD HEART,Jay Projects,0,91.92,160.00,160.00
49,,Pedigree Mini Jumbone Small Chicken and Lamb 160Gm,Jay Projects,0,63.56,100.00,100.00
50,,Pedigree Tasty Minis Cubes Puppy Chicken 125gm,Jay Projects,0,95.34,150.00,150.00
54,,Dog Socks Non Slip S-M 2Pcs Grey,ABK Imports Pvt. Ltd,0,116.53,295.00,295.00
55,,Name tag,Distributor,0,17.80,40.00,40.00
56,,Walker Active Protective Boots L-XL,ABK Imports Pvt. Ltd,0,805.08,"2,150.00","2,150.00"
57,,Walker Active Protective Boots L,ABK Imports Pvt. Ltd,0,783.90,"1,995.00","1,995.00"
58,,SP Bell Plain-XL,Distributor,0,21.19,50.00,50.00
58,,SP Bell Plain-XL,Smartypet Pet Products,0,21.19,50.00,50.00
60,,Walker Active Boots M-L,ABK Imports Pvt. Ltd,0,762.71,"1,950.00","1,950.00"
61,,Shoes No 8,ABK Imports Pvt. Ltd,0,254.24,600.00,600.00
62,,Shoes No 7,ABK Imports Pvt. Ltd,0,254.24,600.00,600.00
63,,Protex PawZ XX-Small- Yellow,Pet Like That Solutions Llp,0,592.60,"1,650.00","1,650.00"
63,,Protex PawZ XX-Small- Yellow,Shreeji Pet Shop,0,699.15,"1,650.00","1,650.00"
70,,M-Pets Puppy Pad Holder,Pet Like That Solutions Llp,0,789.64,"2,199.00","2,199.00"
70,,M-Pets Puppy Pad Holder,Shreeji Pet Shop,0,974.15,"2,299.00","2,299.00"
71,,M-Pets Dog Waste Bags Lemon 4x15 bags,Pet Like That Solutions Llp,0,90.80,240.00,240.00
71,,M-Pets Dog Waste Bags Lemon 4x15 bags,Shreeji Pet Shop,0,105.93,250.00,250.00
76,,M-Pets Dog Waste Bag 4x20 Bags,Pet Like That Solutions Llp,0,79.00,220.00,220.00
84,,Golden Address Tube,Ar Industries,0,41.00,115.00,115.00
85,,Small Heart Gold Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
85,,Small Heart Gold Tag,Shreeji Pet Shop,0,202.50,650.00,650.00
86,,Macro Cat Litter Scoop 9X5X2 inch,ABK Imports Pvt. Ltd,0,81.57,175.00,175.00
93,,Circle Large Bow W Crystal Raised Edge,ABK Imports Pvt. Ltd,0,364.41,"1,020.00","1,020.00"
94,,Large Bone Designer Alluminium Tag,ABK Imports Pvt. Ltd,0,118.64,330.00,330.00
95,,Large Bone Black Paws Tag,ABK Imports Pvt. Ltd,0,190.68,530.00,530.00
96,,Large Bone Epoxy Gold-Bronze Glitter,ABK Imports Pvt. Ltd,0,364.41,"1,020.00","1,020.00"
96,,Large Bone Epoxy Gold-Bronze Glitter,Shreeji Pet Shop,0,650.14,"1,800.00","1,800.00"
97,,Large Bone Epoxy Black- Gold,ABK Imports Pvt. Ltd,0,364.41,"1,020.00","1,020.00"
97,,Large Bone Epoxy Black- Gold,Shreeji Pet Shop,0,649.98,"1,800.00","1,800.00"
98,,Bone Blue Hologram Inset,ABK Imports Pvt. Ltd,0,364.41,"1,020.00","1,020.00"
98,,Bone Blue Hologram Inset,Shreeji Pet Shop,0,430.06,"1,350.00","1,350.00"
99,,Bone Red Hologram Inset,ABK Imports Pvt. Ltd,0,364.41,"1,020.00","1,020.00"
99,,Bone Red Hologram Inset,Shreeji Pet Shop,0,430.05,"1,350.00","1,350.00"
100,,Small Circle VIP Tag,ABK Imports Pvt. Ltd,0,190.68,530.00,530.00
100,,Small Circle VIP Tag,Shreeji Pet Shop,0,202.50,550.00,550.00
101,,Large Bone Garfield Odie Tag,ABK Imports Pvt. Ltd,0,279.66,780.00,780.00
101,,Large Bone Garfield Odie Tag,Shreeji Pet Shop,0,445.03,"1,400.00","1,400.00"
102,,Heart Large Red W-White Paws,ABK Imports Pvt. Ltd,0,190.68,530.00,530.00
103,,Heart Large Raised Edge Purple with Flowers tag,ABK Imports Pvt. Ltd,0,190.68,530.00,530.00
104,,Small Bone Neon Pink Epoxy,ABK Imports Pvt. Ltd,0,364.41,"1,020.00","1,020.00"
105,,Heart Small Spoiled Rotten,ABK Imports Pvt. Ltd,0,190.68,530.00,530.00
105,,Heart Small Spoiled Rotten,Shreeji Pet Shop,0,202.50,600.00,600.00
106,,Heart Small Diva,ABK Imports Pvt. Ltd,0,190.68,530.00,530.00
106,,Heart Small Diva,Shreeji Pet Shop,0,202.50,600.00,600.00
107,,Small Heart Red Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
107,,Small Heart Red Tag,Shreeji Pet Shop,0,99.00,500.00,500.00
108,,Small Heart Black Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
108,,Small Heart Black Tag,Shreeji Pet Shop,0,99.00,500.00,500.00
109,,Large Bone Red Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
110,,Large Bone Blue Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
111,,Large Bone Mustard Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
112,,Large Bone Black Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
113,,Large Bone Pink Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
114,,Large Bone Light Green Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
115,,Large Bone USA Flag Tag,ABK Imports Pvt. Ltd,0,190.68,750.00,750.00
115,,Large Bone USA Flag Tag,Shreeji Pet Shop,0,445.03,"1,400.00","1,400.00"
116,,Large Bone Leopard Print Tag,ABK Imports Pvt. Ltd,0,190.68,750.00,750.00
117,,Small Circle Chrome Tag,ABK Imports Pvt. Ltd,0,139.83,650.00,650.00
117,,Small Circle Chrome Tag,Shreeji Pet Shop,0,148.50,650.00,650.00
118,,Small Circle Gold Tag,ABK Imports Pvt. Ltd,0,190.68,750.00,750.00
118,,Small Circle Gold Tag,Shreeji Pet Shop,0,202.50,750.00,750.00
119,,Military Tag Green Camourflage Tag,ABK Imports Pvt. Ltd,0,199.15,780.00,780.00
120,,Small Heart Purple Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
120,,Small Heart Purple Tag,Shreeji Pet Shop,0,89.10,500.00,500.00
121,,Large Bone Bright Purple Anodized Tag,ABK Imports Pvt. Ltd,0,118.64,650.00,650.00
122,,Large Bone Oil Rubbed Bronze Tag,ABK Imports Pvt. Ltd,0,190.68,750.00,750.00
123,,Large Bone Neon Swirls Tag,ABK Imports Pvt. Ltd,0,190.68,750.00,750.00
123,,Large Bone Neon Swirls Tag,Shreeji Pet Shop,0,345.01,"1,100.00","1,100.00"
124,,Bone Rainbow Tag,ABK Imports Pvt. Ltd,0,266.95,"1,000.00","1,000.00"
125,,Bone Anodized Black Clear Tag,ABK Imports Pvt. Ltd,0,275.42,"1,000.00","1,000.00"
126,,Diva Large Bone Grey Pink Stones Tag,ABK Imports Pvt. Ltd,0,275.42,"1,000.00","1,000.00"
126,,Diva Large Bone Grey Pink Stones Tag,Shreeji Pet Shop,0,325.00,"1,000.00","1,000.00"
127,,Bone Epoxy Fill Black Bone,ABK Imports Pvt. Ltd,0,364.41,"1,200.00","1,200.00"
127,,Bone Epoxy Fill Black Bone,Shreeji Pet Shop,0,650.14,"1,800.00","1,800.00"
128,,Large Circle Red Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
128,,Large Circle Red Tag,Shreeji Pet Shop,0,99.00,600.00,600.00
129,,Large Circle Blue Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
129,,Large Circle Blue Tag,Shreeji Pet Shop,0,99.00,600.00,600.00
130,,Large Circle Black Tag,ABK Imports Pvt. Ltd,0,83.90,500.00,500.00
131,,Circle Large Shiny Purple Anodised Tag,ABK Imports Pvt. Ltd,0,118.64,650.00,650.00
132,,Large Black Rivet Tag,ABK Imports Pvt. Ltd,0,148.31,650.00,650.00
133,,Military Black Tag,ABK Imports Pvt. Ltd,0,93.22,500.00,500.00
134,,Military Tag Pink Camourflage Tag,ABK Imports Pvt. Ltd,0,199.15,780.00,780.00
134,,Military Tag Pink Camourflage Tag,Shreeji Pet Shop,0,374.95,"1,200.00","1,200.00"
135,,Military Digital Army Camo Tag,ABK Imports Pvt. Ltd,0,199.15,780.00,780.00
136,,Military Chrm Amer Status Tag,ABK Imports Pvt. Ltd,0,266.95,"1,000.00","1,000.00"
