"Itemwise Storewise Transfer-OUT Detail 
 DATE : from 01-04-2024 11-09-2026 ; Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
TO date,To Branch code,TO branch name,Item code,Alias Name,Item name,Qty,Expiry date,Tax,Disc. Amount,Total amount,Branch Code,Branch from,Company ID,Company,Division ID,Division,GST Cess Amt,CGST TaxAmt,GST TaxAmt,IGST TaxAmt,SGST TaxAmt,Conversion unit
2024-04-03,32772,SHREEJI PET SHOP - MOTERA,6036,,AMLY Cure D.S.Liq 200ml,1,2026-04-30,0.00,0.00,189.74,225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-04,32772,SHREEJI PET SHOP - MOTERA,2940,,Bravecto 4.5-10 KG,2,2099-12-12,0.00,0.00,"2,232.34",225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-04,32772,SHREEJI PET SHOP - MOTERA,10415,,Pendom 40-DSR Tab.,2,2025-08-30,0.00,0.00,178.76,225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-04,225,SHREEJI PET SHOP - SATELLITE,6818,,Me-O Mackeral 7KG,1,2024-12-30,0.00,0.00,"1,367.12",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,7034,,Royal Canin Mini Adult 4 kg,1,2025-04-23,0.00,0.00,"2,471.19",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,7671,,JH Chicken Milky Stick 400G,2,2025-02-25,0.00,0.00,"1,014.42",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,7714,,Jerhigh Gold Chicken Soft Jerky 300g,2,2025-04-01,0.00,0.00,"1,015.94",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,7711,,Jerhigh Gold Chicken Jerky 300gm,2,2025-06-15,0.00,0.00,"1,015.94",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,7657,,JerHigh Gravy Chicken Grilled 120G,60,2025-08-30,0.00,0.00,"2,278.20",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,7652,,Jerhigh Gravy Rosted Duck 120G,36,2025-08-30,0.00,0.00,"1,366.92",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,4222,,NP Cheese Stix 300G,2,2024-12-30,0.00,0.00,127.12,32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-05,225,SHREEJI PET SHOP - SATELLITE,4071,,NP Chicken Stix  300G,2,2024-12-30,0.00,0.00,127.12,32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,225,SHREEJI PET SHOP - SATELLITE,7041,,Royal Canin Maxi Adult 4 kg,1,2025-03-07,0.00,0.00,"2,333.90",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,225,SHREEJI PET SHOP - SATELLITE,7032,,Royal Canin Mini Adult 2 kg,1,2024-12-22,0.00,0.00,"1,338.56",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,225,SHREEJI PET SHOP - SATELLITE,7346,,NP Chew Bix Non Veg 800G,5,2024-12-30,0.00,0.00,402.50,32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,225,SHREEJI PET SHOP - SATELLITE,7652,,Jerhigh Gravy Rosted Duck 120G,36,2025-08-30,0.00,0.00,"1,366.92",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,225,SHREEJI PET SHOP - SATELLITE,7655,,JerHigh Gravy Chicken Vegetable 120G,36,2024-05-30,0.00,0.00,"1,452.24",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,225,SHREEJI PET SHOP - SATELLITE,7657,,JerHigh Gravy Chicken Grilled 120G,36,2025-08-30,0.00,0.00,"1,366.92",32772,URBAN PETS / MOTERA,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,32772,SHREEJI PET SHOP - MOTERA,7087,,Supercoat Adult Healthy Weight 3 kg,1,2024-09-30,0.00,0.00,898.30,225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,32772,SHREEJI PET SHOP - MOTERA,2973,,Vivaldis Synfosium Capsule (1X),10,2025-03-31,0.00,0.00,178.00,225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-06,32772,SHREEJI PET SHOP - MOTERA,2870,,INTAS CEFPET TABLET,1,2099-12-12,0.00,0.00,104.14,225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
2024-04-08,32772,SHREEJI PET SHOP - MOTERA,2844,,DRONTAL PUPPY SUSPENSION 20 ml,7,2099-12-12,0.00,0.00,837.76,225,URBANPETS SERVICES PRIVATE LIMITED,1,HEAD OFFICE,1,Main,0.00,0.00,0.00,0.00,0.00,UNIT
