"Purchase Return Summary 
 DATE : from 01-04-2024 14-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
View,PR No,Branch No,PR date,PR amount,Code,Supplier Name,Reason,Gross amount,Tax amount,Item discount,LR No,Addl. Edu cess %,LR Date,Bill discount amount,Freight,Branch ID,Branch Name,Branch prefix,Rounded off,Service tax amt,Addl. Tax amount,Addl. Edu cess amount,Edu cess amount,GST Cess Amt,CGST TaxAmt,GST TaxAmt,IGST TaxAmt,SGST TaxAmt,Currency,ERP code
,27,16,2025-08-01,"5,227.73",32665,TTK Healthcare Limited,DINESH ,"5,227.73",0.00,"1,555.88",0,0,2025-08-05,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,280.06,560.12,0.00,280.06,INDIAN RUPEE,urbanpets
,28,17,2025-08-05,"1,039.00",32673,FRIENDS MEDICINES,DELIVERY,"1,038.82",0.00,18.93,0,0,2025-08-05,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.18,0.00,0.00,0.00,0.00,0.00,55.65,111.30,0.00,55.65,INDIAN RUPEE,urbanpets
,29,15,2025-08-23,687.50,32650,ABK Imports Pvt. Ltd,dhruvi ,687.50,0.00,0.00,0,0,2025-08-23,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.87,104.87,0.00,INDIAN RUPEE,
,30,16,2025-09-06,"194,040.00",32652,Castor and Pullox,PURCHASE RETURN DINESH,"194,040.15",0.00,0.00,0,0,2025-09-09,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.15,0.00,0.00,0.00,0.00,0.00,"14,799.66","29,599.32",0.00,"14,799.66",INDIAN RUPEE,
,31,17,2025-09-10,"45,274.00",32846,MAHIMA SALES,PR,"45,273.60",0.00,"1,598.64",0,0,2025-09-10,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.40,0.00,0.00,0.00,0.00,0.00,"3,453.07","6,906.14",0.00,"3,453.07",INDIAN RUPEE,
,32,18,2025-09-25,"9,054.00",32846,MAHIMA SALES,dhruvi ,"9,054.72",0.00,319.73,0,0,2025-09-25,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.72,0.00,0.00,0.00,0.00,0.00,690.61,"1,381.22",0.00,690.61,INDIAN RUPEE,
,33,19,2025-10-04,"18,109.00",32846,MAHIMA SALES,dinesh,"18,109.44",0.00,639.46,0,0,2025-10-04,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.44,0.00,0.00,0.00,0.00,0.00,"1,381.22","2,762.44",0.00,"1,381.22",INDIAN RUPEE,
,34,20,2025-08-30,"14,760.00",32660,SCIENTIFIC REMEDIES PVT  LTD,dinesh ,"14,759.98",0.00,0.00,0,0,2025-10-07,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.02,0.00,0.00,0.00,0.00,0.00,"1,125.76","2,251.52",0.00,"1,125.76",INDIAN RUPEE,
,35,18,2025-10-16,"3,150.00",32850,MAHIMA ENTERPRISE,DINESH ,"3,150.00",0.00,0.00,0,0,2025-10-16,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,75.00,150.00,0.00,75.00,INDIAN RUPEE,urbanpets
,36,19,2025-10-19,"5,288.00",32850,MAHIMA ENTERPRISE,DINESH ,"5,287.52",0.00,0.00,0,0,2025-10-19,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.48,0.00,0.00,0.00,0.00,0.00,125.89,251.78,0.00,125.89,INDIAN RUPEE,urbanpets
,37,20,2025-10-30,"5,505.80",32853,SWISSBIOCARE,DINESH ,"5,505.80",0.00,8.80,0,0,2025-10-30,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.18,262.18,0.00,INDIAN RUPEE,urbanpets
,38,21,2025-10-30,"3,427.20",32723,SAVA HEALTHCARE LIMITED,DINESH ,"3,427.20",0.00,438.84,0,0,2025-10-30,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.20,163.20,0.00,INDIAN RUPEE,urbanpets
,39,21,2025-11-13,"13,759.22",32651,Orange Pet Nutrition Pvt Ltd,dhruvi ,"13,759.22",0.00,0.00,0,0,2025-11-13,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,098.86","2,098.86",0.00,INDIAN RUPEE,
,40,22,2025-11-21,"1,920.00",32850,MAHIMA ENTERPRISE,DINESH ,"1,920.00",0.00,0.00,0,0,2025-11-21,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,146.44,292.88,0.00,146.44,INDIAN RUPEE,urbanpets
,41,23,2025-11-22,"5,472.00",32723,SAVA HEALTHCARE LIMITED,DINESH ,"5,472.00",0.00,274.29,0,0,2025-11-22,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.57,260.57,0.00,INDIAN RUPEE,urbanpets
,42,24,2025-11-22,"1,154.62",32686,Geeta Pharma,DINESH ,"1,054.62",0.00,0.00,0,0,2025-11-22,0.00,100.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,25.11,50.22,0.00,25.11,INDIAN RUPEE,urbanpets
,43,25,2025-11-22,"1,250.09",32850,MAHIMA ENTERPRISE,DINESH ,"1,250.09",0.00,0.00,0,0,2025-11-22,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,29.76,59.52,0.00,29.76,INDIAN RUPEE,urbanpets
,45,27,2025-11-22,"3,304.83",32846,MAHIMA SALES,DINESH ,"3,304.83",0.00,0.00,0,0,2025-11-22,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,252.06,504.12,0.00,252.06,INDIAN RUPEE,urbanpets
,46,28,2025-11-23,"1,394.40",32713,AREION VET,dinesh ,"1,394.40",0.00,0.00,0,0,2025-11-23,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.40,66.40,0.00,INDIAN RUPEE,urbanpets
,47,29,2025-11-23,"4,800.00",32850,MAHIMA ENTERPRISE,dinesh ,"4,800.00",0.00,0.00,0,0,2025-11-23,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,366.10,732.20,0.00,366.10,INDIAN RUPEE,urbanpets
,48,30,2025-11-23,"1,050.05",33890,ORIHEAL LIFESCIENCES PVT LTD,dinesh ,"1,050.05",0.00,119.95,0,0,2025-11-23,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,INDIAN RUPEE,urbanpets
,49,31,2025-11-23,836.01,32850,MAHIMA ENTERPRISE,dinesh ,836.01,0.00,0.00,0,0,2025-11-23,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,0.00,0.00,0.00,0.00,0.00,0.00,63.76,127.52,0.00,63.76,INDIAN RUPEE,urbanpets
,50,22,2025-11-26,"4,499.99",32666,AKSHAJ DISTRIBUTORS,dhruvi ,"4,499.99",0.00,406.78,0,0,2025-11-26,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,343.21,686.42,0.00,343.21,INDIAN RUPEE,
,51,32,2025-11-26,"1,032.00",32846,MAHIMA SALES,dinesh ,"1,032.48",0.00,0.00,0,0,2025-11-26,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.48,0.00,0.00,0.00,0.00,0.00,78.75,157.50,0.00,78.75,INDIAN RUPEE,urbanpets
,53,34,2025-12-05,860.00,32846,MAHIMA SALES,dinesh ,860.40,0.00,0.00,0,0,2025-12-05,0.00,0.01,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.41,0.00,0.00,0.00,0.00,0.00,65.62,131.24,0.00,65.62,INDIAN RUPEE,urbanpets
,54,23,2025-12-13,"14,278.00",32662,Sai International Pet Product Privet Limited,dhruvi ,"14,278.00",0.00,0.00,0,0,2025-12-13,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,178.00","2,178.00",0.00,INDIAN RUPEE,
,55,24,2025-12-19,"33,823.00",32745,Smartypet Pet Products,DHRUVI,"33,822.63",0.00,0.00,0,0,2025-12-20,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.37,0.00,0.00,0.00,0.00,0.00,0.00,"4,498.25","4,498.25",0.00,INDIAN RUPEE,
,56,25,2025-12-24,"5,541.80",32749,Naughty Pet,dhruiv ,"5,541.80",0.00,0.00,0,0,2025-12-24,0.00,0.00,32772,URBAN PETS / MOTERA,LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,845.36,845.36,0.00,INDIAN RUPEE,
,57,35,2026-01-07,516.00,32846,MAHIMA SALES,dinesh ,516.24,0.00,0.00,0,0,2026-01-07,0.00,0.00,225,URBANPETS SERVICES PRIVATE LIMITED,LN,-0.24,0.00,0.00,0.00,0.00,0.00,39.37,78.74,0.00,39.37,INDIAN RUPEE,urbanpets
,58,26,2026-01-19,"12,133.00",32650,ABK Imports Pvt. Ltd,dhruvi ,"12,133.56",0.00,182.08,0,0,2026-01-19,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,"1,788.17","1,788.17",0.00,INDIAN RUPEE,
,59,27,2026-01-19,"13,311.00",32650,ABK Imports Pvt. Ltd,dhruvi ,"13,311.02",0.00,"1,030.30",0,0,2026-01-19,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,"1,988.17","1,988.17",0.00,INDIAN RUPEE,
,60,28,2026-01-19,"54,002.00",32650,ABK Imports Pvt. Ltd,dhruvi ,"54,002.04",0.00,"1,084.40",0,0,2026-01-19,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,"7,604.78","7,604.78",0.00,INDIAN RUPEE,
,61,29,2026-01-19,"54,715.00",32650,ABK Imports Pvt. Ltd,dhruvi ,"54,715.93",0.00,"9,365.75",0,0,2026-01-19,0.00,0.00,32772,URBAN PETS / MOTERA,LN,-0.93,0.00,0.00,0.00,0.00,0.00,0.00,"8,219.54","8,219.54",0.00,INDIAN RUPEE,
