"Purchase Order Detail 
 DATE : from 01-04-2024 14-09-2026 ; Stock Class : Trade , Location : All Location ; 
"
"URBANPETSSERVICESPRIVATELIMITED,AksharComplex,Ahmedabad,9662825744,GSTNO:24AAECU0338G1ZN"
BRANDS,DEPARTMENT,CATEGORY,Branch ID,Branch Name,Branch prefix,PO date,Till sequence,Po no,S.no,Supplier Name,Address1,Address2,Item name,Order Qty,Free Qty,Billed qty.,Cancelled Qty,Basic cost,Net cost,Net margin %,Selling,MRP,Tax,Tax amount,Discount %,Disc. Amount,Cash disc. Amount,Freight,Order amount,Status,Supplier shipping name,Pending Qty,Addl. Tax %,Alias Name,Addl. Tax amount,Dual Service Ratio,Dual Vat Ratio,Service goods value,Dual Service Tax%,Dual Service Amt,Tax Goods Value,Addl. Edu cess %,Addl. Edu cess amount,Edu cess %,Edu cess amount,Excise duty %,Excise duty amount,Conversion unit,Customer ship code,GST Cess Amt,GST Cess Perc,CGST TaxAmt,CGST Perc,Customer ship name,GST TaxAmt,GST Perc,IGST TaxAmt,IGST Perc,SGST TaxAmt,SGST Perc,Expiry Status,Business Type,State,Short name
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,5,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken Pasta 250gm,42,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"2,251.72",0.00,0.00,"13,281.96",Pending,,42,0,,0.00,0,0,0.00,0,0.00,"11,255.90",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"2,026.06",18.00,"2,026.06",18.00,0.00,0.00,Expired,BRANCH,Gujarat,
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,6,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken Tenders 250g,60,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"3,216.74",0.00,0.00,"18,974.23",Pending,,60,0,,0.00,0,0,0.00,0,0.00,"16,079.86",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"2,894.37",18.00,"2,894.37",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,7,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Diced Chicken 250g,60,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"3,216.74",0.00,0.00,"18,974.23",Pending,,60,0,,0.00,0,0,0.00,0,0.00,"16,079.86",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"2,894.37",18.00,"2,894.37",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,8,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Dried Chicken Jerky 250G,24,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"1,286.70",0.00,0.00,"7,589.69",Pending,,24,0,,0.00,0,0,0.00,0,0.00,"6,431.94",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"1,157.75",18.00,"1,157.75",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,9,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Fish On Stick 250G,12,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,643.35,0.00,0.00,"3,794.84",Pending,,12,0,,0.00,0,0,0.00,0,0.00,"3,215.97",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,578.87,18.00,578.87,18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,10,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Roast Chicken Strips 250g,24,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"1,286.70",0.00,0.00,"7,589.69",Pending,,24,0,,0.00,0,0,0.00,0,0.00,"6,431.94",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"1,157.75",18.00,"1,157.75",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,11,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Roast Duck Strips 250g,24,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"1,286.70",0.00,0.00,"7,589.69",Pending,,24,0,,0.00,0,0,0.00,0,0.00,"6,431.94",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"1,157.75",18.00,"1,157.75",18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,12,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Sushi Rolls 250gm,24,0,0,0,321.61,316.24,0,690.00,690.00,0,0.00,17,"1,286.70",0.00,0.00,"7,589.69",Pending,,24,0,,0.00,0,0,0.00,0,0.00,"6,431.94",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,"1,157.75",18.00,"1,157.75",18.00,0.00,0.00,Expired,BRANCH,Gujarat,
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,14,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken and Codfish Rolls 70G,28,0,0,0,104.87,103.12,0,225.00,225.00,0,0.00,17,489.49,0.00,0.00,"2,887.31",Pending,,28,0,,0.00,0,0,0.00,0,0.00,"2,446.87",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,440.44,18.00,440.44,18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
Chip Chops,"Treats, Biscuits & Chews ",Treats  ,32772,URBAN PETS / MOTERA,LN,2026-09-03,2,3,15,ABK Imports Pvt. Ltd,"Office no105, 1st Floor, Pune Trade Center, Gat no 2337/1, Opp. Mapple Hotel, Wagholi,",,Chip Chops Chicken and CodFish Sandwich 70gm,28,0,0,0,104.87,103.12,0,225.00,225.00,0,0.00,17,489.49,0.00,0.00,"2,887.31",Pending,,28,0,,0.00,0,0,0.00,0,0.00,"2,446.87",0,0.00,0,0.00,0,0.00,UNIT,0,0.00,0.00,0.00,0.00,,440.44,18.00,440.44,18.00,0.00,0.00,Expired,BRANCH,Gujarat,Chip 
